PyTorch 2.11.0 for DeltaAI (CUDA 13.0, Python 3.12)
Includes: transformers, accelerate, datasets, peft, lightning,
          timm, bitsandbytes, diffusers, mpi4py, tensorboard,
          wandb, jupyter, scipy, scikit-learn, opencv, nvitop
New in this build (sm_90 source builds):
  flash-attn, transformer_engine, xformers, apex, mamba-ssm,
  triton, torch-geometric, cupy-cuda13x, tensorrt, flashinfer
Known: transformer_engine and cupy currently fail at import due to
  a cu13 libcublasLt / cython ABI mismatch on this stack — use the
  other attention paths (flash-attn, xformers) and stock torch CUDA
  until an upstream fix lands.

For documentation and examples:
  https://docs.ncsa.illinois.edu/systems/deltaai/

Run setup-kernel prior to launching OOD job.

Quick start (on a compute node):
  module load python/miniforge3_pytorch/2.11.0
  conda activate base
  python -c "import torch; print(torch.cuda.is_available())"

CUDA extensions: CUDA_HOME, nvcc, and CMAKE_PREFIX_PATH come from the
auto-loaded cuda/13.1.1 module.

host: gh135.hsn.cm.delta.internal.ncsa.edu   started: Thu Sep  3 03:45:39 PM CDT 2026
name, memory.total [MiB], driver_version
NVIDIA GH200 120GB, 97871 MiB, 595.71.05
torch 2.11.0+cu130 cuda True
triton 3.5.1

==== arm: --arm softmax   Thu Sep  3 03:45:43 PM CDT 2026 ====
{
 "run": "softmax_qkn",
 "arm": "softmax",
 "d": 1,
 "T": 4096,
 "layers": 4,
 "d_model": 256,
 "heads": 4,
 "r": 64,
 "learn_phi": false,
 "qk_norm": true,
 "chunk": 128,
 "steps": 20000,
 "nb": 8,
 "lr": 0.0003,
 "warmup": 500,
 "wd": 0.1,
 "clip": 1.0,
 "eval_every": 2000,
 "val_windows": 256,
 "eval_nb": 8,
 "data": "/u/archerdw/smat_attention/deltaai/data/enwik8",
 "out": "results/lm_T4096_20k_qkn.csv",
 "device": "cuda",
 "no_amp": false,
 "seed": 0
}
mask: {'mask_nnz': 8390656, 'mask_density': 0.5001220703125}
params: 4,336,128
step  8150  loss 1.1391  bpc 1.643  gn 0.98  14 ms/step
step  8200  loss 1.1181  bpc 1.613  gn 0.77  14 ms/step
step  8250  loss 1.2449  bpc 1.796  gn 0.77  14 ms/step
step  8300  loss 1.0868  bpc 1.568  gn 0.76  14 ms/step
step  8350  loss 0.9203  bpc 1.328  gn 0.72  14 ms/step
step  8400  loss 1.1084  bpc 1.599  gn 0.79  14 ms/step
step  8450  loss 1.1596  bpc 1.673  gn 0.73  14 ms/step
step  8500  loss 1.0393  bpc 1.499  gn 0.76  14 ms/step
step  8550  loss 1.1206  bpc 1.617  gn 0.75  14 ms/step
step  8600  loss 1.1452  bpc 1.652  gn 0.80  14 ms/step
step  8650  loss 1.1438  bpc 1.650  gn 0.70  14 ms/step
step  8700  loss 1.0898  bpc 1.572  gn 0.68  14 ms/step
step  8750  loss 1.0700  bpc 1.544  gn 0.70  14 ms/step
step  8800  loss 0.9876  bpc 1.425  gn 0.78  14 ms/step
step  8850  loss 1.1777  bpc 1.699  gn 0.77  14 ms/step
step  8900  loss 1.1841  bpc 1.708  gn 0.74  14 ms/step
step  8950  loss 1.1136  bpc 1.607  gn 0.73  14 ms/step
step  9000  loss 1.0907  bpc 1.573  gn 0.74  14 ms/step
step  9050  loss 1.2193  bpc 1.759  gn 0.90  14 ms/step
step  9100  loss 1.1805  bpc 1.703  gn 0.70  14 ms/step
step  9150  loss 1.0777  bpc 1.555  gn 0.74  14 ms/step
step  9200  loss 1.1074  bpc 1.598  gn 0.71  14 ms/step
step  9250  loss 1.1245  bpc 1.622  gn 0.69  14 ms/step
step  9300  loss 1.1455  bpc 1.653  gn 0.74  14 ms/step
step  9350  loss 1.1298  bpc 1.630  gn 0.73  14 ms/step
step  9400  loss 1.1144  bpc 1.608  gn 0.68  14 ms/step
step  9450  loss 1.0793  bpc 1.557  gn 0.72  14 ms/step
step  9500  loss 1.1384  bpc 1.642  gn 0.74  14 ms/step
step  9550  loss 1.1365  bpc 1.640  gn 0.77  14 ms/step
step  9600  loss 1.1288  bpc 1.629  gn 0.72  14 ms/step
step  9650  loss 1.0656  bpc 1.537  gn 0.69  14 ms/step
step  9700  loss 1.0778  bpc 1.555  gn 0.67  14 ms/step
step  9750  loss 1.0101  bpc 1.457  gn 0.69  14 ms/step
step  9800  loss 1.1486  bpc 1.657  gn 0.77  14 ms/step
step  9850  loss 1.0348  bpc 1.493  gn 0.65  14 ms/step
step  9900  loss 1.0967  bpc 1.582  gn 0.65  14 ms/step
step  9950  loss 1.0526  bpc 1.519  gn 0.82  14 ms/step
step 10000  loss 0.9842  bpc 1.420  gn 0.67  14 ms/step
== eval step 10000: val_bpc 1.6195  ppl 3.073  [0:512) 1.745  [512:2048) 1.605  [2048:4096) 1.599  peak 1862 MB
step 10050  loss 1.1289  bpc 1.629  gn 0.66  14 ms/step
step 10100  loss 1.1803  bpc 1.703  gn 0.73  14 ms/step
step 10150  loss 1.0134  bpc 1.462  gn 0.69  14 ms/step
step 10200  loss 1.1764  bpc 1.697  gn 0.69  14 ms/step
step 10250  loss 0.9458  bpc 1.365  gn 0.71  14 ms/step
step 10300  loss 1.1132  bpc 1.606  gn 0.74  14 ms/step
step 10350  loss 1.0583  bpc 1.527  gn 0.67  14 ms/step
step 10400  loss 1.0924  bpc 1.576  gn 0.70  14 ms/step
step 10450  loss 1.1307  bpc 1.631  gn 0.73  14 ms/step
step 10500  loss 1.0295  bpc 1.485  gn 0.76  14 ms/step
step 10550  loss 1.1361  bpc 1.639  gn 0.70  14 ms/step
step 10600  loss 0.9538  bpc 1.376  gn 0.69  14 ms/step
step 10650  loss 1.0340  bpc 1.492  gn 0.71  14 ms/step
step 10700  loss 1.1030  bpc 1.591  gn 0.76  14 ms/step
step 10750  loss 1.0738  bpc 1.549  gn 0.66  14 ms/step
step 10800  loss 1.0712  bpc 1.545  gn 0.72  14 ms/step
step 10850  loss 1.1420  bpc 1.648  gn 0.70  14 ms/step
step 10900  loss 1.1157  bpc 1.610  gn 0.77  14 ms/step
step 10950  loss 1.0873  bpc 1.569  gn 0.74  14 ms/step
step 11000  loss 1.0417  bpc 1.503  gn 0.69  14 ms/step
step 11050  loss 1.0387  bpc 1.499  gn 0.67  14 ms/step
step 11100  loss 1.0387  bpc 1.499  gn 0.72  14 ms/step
step 11150  loss 1.1009  bpc 1.588  gn 0.75  14 ms/step
step 11200  loss 1.1399  bpc 1.644  gn 0.76  14 ms/step
step 11250  loss 1.0800  bpc 1.558  gn 0.73  14 ms/step
step 11300  loss 1.0649  bpc 1.536  gn 0.69  14 ms/step
step 11350  loss 0.9876  bpc 1.425  gn 0.74  14 ms/step
step 11400  loss 1.1808  bpc 1.704  gn 0.71  14 ms/step
step 11450  loss 1.1051  bpc 1.594  gn 0.67  14 ms/step
step 11500  loss 1.0239  bpc 1.477  gn 0.69  14 ms/step
step 11550  loss 1.0681  bpc 1.541  gn 0.72  14 ms/step
step 11600  loss 1.0126  bpc 1.461  gn 0.74  14 ms/step
step 11650  loss 1.0153  bpc 1.465  gn 0.79  14 ms/step
step 11700  loss 1.1620  bpc 1.676  gn 0.75  14 ms/step
step 11750  loss 1.1256  bpc 1.624  gn 0.70  14 ms/step
step 11800  loss 1.0704  bpc 1.544  gn 0.73  14 ms/step
step 11850  loss 1.0971  bpc 1.583  gn 0.83  14 ms/step
step 11900  loss 1.0983  bpc 1.585  gn 0.71  14 ms/step
step 11950  loss 1.0514  bpc 1.517  gn 0.68  14 ms/step
step 12000  loss 1.1279  bpc 1.627  gn 0.70  14 ms/step
== eval step 12000: val_bpc 1.5837  ppl 2.997  [0:512) 1.709  [512:2048) 1.571  [2048:4096) 1.562  peak 1862 MB
step 12050  loss 0.9924  bpc 1.432  gn 0.72  14 ms/step
step 12100  loss 1.0581  bpc 1.527  gn 0.71  14 ms/step
step 12150  loss 1.0958  bpc 1.581  gn 0.81  14 ms/step
step 12200  loss 1.0655  bpc 1.537  gn 0.75  14 ms/step
