step  7700  loss 1.9441  bpc 2.805  gn 0.97  19 ms/step
step  7750  loss 1.7382  bpc 2.508  gn 0.93  19 ms/step
step  7800  loss 1.8411  bpc 2.656  gn 1.17  19 ms/step
step  7850  loss 2.0532  bpc 2.962  gn 1.12  19 ms/step
step  7900  loss 1.8839  bpc 2.718  gn 1.02  19 ms/step
step  7950  loss 2.0395  bpc 2.942  gn 1.03  19 ms/step
step  8000  loss 1.9624  bpc 2.831  gn 1.08  19 ms/step
== eval step 8000: val_bpc 2.8749  ppl 7.335  [0:512) 2.801  [512:2048) 2.895  [2048:4096) 2.878  peak 2377 MB
step  8050  loss 1.8924  bpc 2.730  gn 1.37  19 ms/step
step  8100  loss 2.0014  bpc 2.887  gn 1.47  19 ms/step
step  8150  loss 1.9949  bpc 2.878  gn 1.31  19 ms/step
step  8200  loss 1.9903  bpc 2.871  gn 0.98  19 ms/step
step  8250  loss 2.0871  bpc 3.011  gn 1.12  19 ms/step
step  8300  loss 1.9069  bpc 2.751  gn 1.25  19 ms/step
step  8350  loss 1.7133  bpc 2.472  gn 1.33  19 ms/step
step  8400  loss 1.9036  bpc 2.746  gn 1.21  19 ms/step
step  8450  loss 1.9901  bpc 2.871  gn 1.64  19 ms/step
step  8500  loss 1.8588  bpc 2.682  gn 1.54  19 ms/step
step  8550  loss 1.8584  bpc 2.681  gn 1.11  19 ms/step
step  8600  loss 1.9078  bpc 2.752  gn 1.44  19 ms/step
step  8650  loss 1.8929  bpc 2.731  gn 0.99  19 ms/step
step  8700  loss 1.8430  bpc 2.659  gn 1.23  19 ms/step
step  8750  loss 1.8492  bpc 2.668  gn 1.37  19 ms/step
step  8800  loss 1.7044  bpc 2.459  gn 1.37  19 ms/step
step  8850  loss 1.9397  bpc 2.798  gn 1.43  19 ms/step
step  8900  loss 2.0153  bpc 2.907  gn 1.30  19 ms/step
step  8950  loss 1.8899  bpc 2.727  gn 1.12  19 ms/step
step  9000  loss 1.9036  bpc 2.746  gn 1.40  19 ms/step
step  9050  loss 1.9038  bpc 2.747  gn 1.22  19 ms/step
step  9100  loss 1.8993  bpc 2.740  gn 1.43  19 ms/step
step  9150  loss 1.8555  bpc 2.677  gn 1.32  19 ms/step
step  9200  loss 1.8227  bpc 2.630  gn 1.28  19 ms/step
step  9250  loss 1.9279  bpc 2.781  gn 1.26  19 ms/step
step  9300  loss 1.9078  bpc 2.752  gn 1.29  19 ms/step
step  9350  loss 1.9239  bpc 2.776  gn 1.64  19 ms/step
step  9400  loss 1.8360  bpc 2.649  gn 1.44  19 ms/step
step  9450  loss 1.8036  bpc 2.602  gn 1.53  19 ms/step
step  9500  loss 1.8329  bpc 2.644  gn 1.24  19 ms/step
step  9550  loss 1.8587  bpc 2.682  gn 1.55  19 ms/step
step  9600  loss 1.8136  bpc 2.616  gn 1.27  19 ms/step
step  9650  loss 1.8023  bpc 2.600  gn 1.47  19 ms/step
step  9700  loss 1.8238  bpc 2.631  gn 1.47  19 ms/step
step  9750  loss 1.7005  bpc 2.453  gn 1.41  19 ms/step
step  9800  loss 1.8508  bpc 2.670  gn 1.48  19 ms/step
step  9850  loss 1.7270  bpc 2.492  gn 1.45  19 ms/step
step  9900  loss 1.7790  bpc 2.567  gn 1.41  19 ms/step
step  9950  loss 1.7991  bpc 2.596  gn 1.75  19 ms/step
step 10000  loss 1.6616  bpc 2.397  gn 1.49  19 ms/step
step 10050  loss 1.8042  bpc 2.603  gn 1.54  19 ms/step
step 10100  loss 1.8546  bpc 2.676  gn 1.67  19 ms/step
step 10150  loss 1.6757  bpc 2.417  gn 1.46  19 ms/step
step 10200  loss 1.8220  bpc 2.629  gn 1.62  19 ms/step
step 10250  loss 1.6903  bpc 2.439  gn 1.57  19 ms/step
step 10300  loss 1.7771  bpc 2.564  gn 1.39  19 ms/step
step 10350  loss 1.7006  bpc 2.453  gn 1.53  19 ms/step
step 10400  loss 1.8015  bpc 2.599  gn 1.48  19 ms/step
step 10450  loss 1.7859  bpc 2.577  gn 1.56  19 ms/step
step 10500  loss 1.7238  bpc 2.487  gn 1.57  19 ms/step
step 10550  loss 1.8098  bpc 2.611  gn 1.73  19 ms/step
step 10600  loss 1.6686  bpc 2.407  gn 1.60  19 ms/step
step 10650  loss 1.6813  bpc 2.426  gn 1.62  19 ms/step
step 10700  loss 1.7909  bpc 2.584  gn 1.75  19 ms/step
step 10750  loss 1.7076  bpc 2.464  gn 1.63  19 ms/step
step 10800  loss 1.7273  bpc 2.492  gn 1.71  19 ms/step
step 10850  loss 1.8137  bpc 2.617  gn 1.60  19 ms/step
step 10900  loss 1.7791  bpc 2.567  gn 1.66  19 ms/step
step 10950  loss 1.6813  bpc 2.426  gn 1.52  19 ms/step
step 11000  loss 1.6360  bpc 2.360  gn 1.85  19 ms/step
step 11050  loss 1.6247  bpc 2.344  gn 1.96  19 ms/step
step 11100  loss 1.7093  bpc 2.466  gn 1.51  19 ms/step
step 11150  loss 1.7791  bpc 2.567  gn 1.71  19 ms/step
step 11200  loss 1.7946  bpc 2.589  gn 1.83  19 ms/step
step 11250  loss 1.6994  bpc 2.452  gn 1.84  19 ms/step
step 11300  loss 1.6270  bpc 2.347  gn 1.52  19 ms/step
step 11350  loss 1.6312  bpc 2.353  gn 1.81  19 ms/step
step 11400  loss 1.7992  bpc 2.596  gn 1.52  19 ms/step
step 11450  loss 1.7113  bpc 2.469  gn 1.54  19 ms/step
step 11500  loss 1.6428  bpc 2.370  gn 2.11  19 ms/step
step 11550  loss 1.6621  bpc 2.398  gn 1.65  19 ms/step
step 11600  loss 1.6500  bpc 2.380  gn 1.82  19 ms/step
step 11650  loss 1.6659  bpc 2.403  gn 1.96  19 ms/step
step 11700  loss 1.7652  bpc 2.547  gn 2.55  19 ms/step
step 11750  loss 1.7636  bpc 2.544  gn 2.16  19 ms/step
step 11800  loss 1.6488  bpc 2.379  gn 1.81  19 ms/step
step 11850  loss 1.7932  bpc 2.587  gn 1.99  19 ms/step
step 11900  loss 1.6715  bpc 2.411  gn 1.90  19 ms/step
step 11950  loss 1.6629  bpc 2.399  gn 2.16  19 ms/step
step 12000  loss 1.6855  bpc 2.432  gn 1.66  19 ms/step
== eval step 12000: val_bpc 2.4281  ppl 5.382  [0:512) 2.390  [512:2048) 2.441  [2048:4096) 2.428  peak 2377 MB
step 12050  loss 1.6728  bpc 2.413  gn 2.11  19 ms/step
step 12100  loss 1.6441  bpc 2.372  gn 1.67  19 ms/step
step 12150  loss 1.7142  bpc 2.473  gn 2.12  19 ms/step
step 12200  loss 1.6637  bpc 2.400  gn 1.88  19 ms/step
step 12250  loss 1.5861  bpc 2.288  gn 1.94  19 ms/step
step 12300  loss 1.5460  bpc 2.230  gn 1.92  19 ms/step
step 12350  loss 1.6824  bpc 2.427  gn 2.21  19 ms/step
step 12400  loss 1.5214  bpc 2.195  gn 1.92  19 ms/step
step 12450  loss 1.6173  bpc 2.333  gn 1.94  19 ms/step
step 12500  loss 1.5939  bpc 2.300  gn 1.80  19 ms/step
step 12550  loss 1.6501  bpc 2.381  gn 1.97  19 ms/step
step 12600  loss 1.6177  bpc 2.334  gn 1.78  19 ms/step
step 12650  loss 1.6528  bpc 2.385  gn 2.45  19 ms/step
step 12700  loss 1.6442  bpc 2.372  gn 1.75  19 ms/step
step 12750  loss 1.5557  bpc 2.244  gn 1.77  19 ms/step
step 12800  loss 1.5303  bpc 2.208  gn 1.97  19 ms/step
step 12850  loss 1.5838  bpc 2.285  gn 2.01  19 ms/step
