arm,k,seed,steps,rows_mode,loss_final,loss_best,loss_q25,loss_q50,loss_q75,loss_tail_slope,nmse,nmse_answerable,nmse_unanswerable,exact_support_frac,leak_rel,leak_max,influence_mean,influence_max,influence_zero_frac,train_seconds,T,d,cols,source,ceiling_answerable,n_patterns
softmax_content,1,1,1500,last,4.312469172873534e-06,1.6474723452120088e-06,0.0034223468974232674,2.6531984985922463e-05,9.184130249195732e-06,0.0006386243449407083,8.500280819134787e-05,8.500280819134787e-05,nan,0.982421875,0.0022500737104564905,0.1777292788028717,0.005647408775985241,0.5938513875007629,0.505859375,12.137168345972896,1024,0,513,witness,1.0,2
softmax_content,1,2,1500,last,3.2421103242086247e-06,1.4216776662578923e-06,8.570520549255889e-06,8.061115295276977e-06,2.1847595235158224e-06,-0.00140885009933332,0.0015227750409394503,0.0015227750409394503,nan,0.9765625,0.003562543075531721,0.8734703660011292,0.009286148473620415,1.4452253580093384,0.50390625,11.921055488288403,1024,0,513,witness,1.0,2
smat,2,0,1500,mask,0.09744007885456085,0.010543457232415676,0.20131433010101318,0.0938652902841568,0.19324207305908203,0.00017817536121476273,0.1221250370144844,6.938404112588614e-05,0.48829197883605957,0.751953125,0.002445207443088293,0.12554147839546204,0.0,0.0,1.0,21.205642813816667,1024,1,513 206,witness+greedy,0.75,3
smat,2,1,1500,mask,0.1598975956439972,0.012248039245605469,0.14651580154895782,0.18657344579696655,0.12351248413324356,0.0012789311694759596,0.11424570530653,2.168864921259228e-05,0.522188663482666,0.78125,0.0017134189838543534,0.039575353264808655,0.0,0.0,1.0,21.45008422806859,1024,1,513 206,witness+greedy,0.75,3
smat,2,2,1500,mask,0.10522979497909546,0.012179404497146606,0.06582506746053696,0.0844813734292984,0.1078784316778183,-0.0013091558524452342,0.10885470360517502,6.16174511378631e-05,0.48867616057395935,0.783203125,0.002345351269468665,0.06115342304110527,0.0,0.0,1.0,21.057371532544494,1024,1,513 206,witness+greedy,0.75,3
smat_content,2,0,1500,mask,0.09760970622301102,0.010705612599849701,0.20073533058166504,0.09694652259349823,0.19663020968437195,0.00017623343454254299,0.12209826707839966,8.930812327889726e-05,0.48812514543533325,0.69140625,0.0033826767466962337,0.11496001482009888,0.0,0.0,1.0,23.003959853202105,1024,1,513 206,witness+greedy,0.75,3
smat_content,2,1,1500,mask,0.15998607873916626,0.012313105165958405,0.16666337847709656,0.18588551878929138,0.1224125325679779,0.0012745713424907538,0.1142849326133728,5.464600326376967e-05,0.5222502946853638,0.849609375,0.00133301701862365,0.01838994212448597,0.0,0.0,1.0,22.90669779665768,1024,1,513 206,witness+greedy,0.75,3
smat_content,2,2,1500,mask,0.10515700280666351,0.01223812811076641,0.05334337428212166,0.08487431704998016,0.10796266794204712,-0.0013129257245498328,0.10872939974069595,9.185635462927166e-06,0.4882964789867401,0.865234375,0.001014145789667964,0.02577940933406353,0.0,0.0,1.0,23.462420215830207,1024,1,513 206,witness+greedy,0.75,3
softmax,2,0,1500,mask,0.2590978741645813,0.059090398252010345,0.2852557599544525,0.1592765748500824,0.25361305475234985,0.0009376119972459155,0.2547105550765991,0.17685458064079285,0.48827850818634033,0.50390625,0.031553566455841064,0.17856569588184357,0.0,0.0,1.0,10.426579723134637,1024,0,513 206,witness+greedy,0.75,3
softmax,2,1,1500,mask,0.21043089032173157,0.050062164664268494,0.23034536838531494,0.2674551010131836,0.17328117787837982,0.0010471181477721108,0.2520703673362732,0.17643696069717407,0.5221896767616272,0.544921875,0.02950134500861168,0.16759797930717468,0.0,0.0,1.0,10.535041840746999,1024,0,513 206,witness+greedy,0.75,3
softmax,2,2,1500,mask,0.1788024604320526,0.07085782289505005,0.16084297001361847,0.11327799409627914,0.18512004613876343,-0.0006499436098434283,0.5176941752433777,0.5260499119758606,0.4885222017765045,0.517578125,0.03128301352262497,0.24591811001300812,0.0,0.0,1.0,10.306124104186893,1024,0,513 206,witness+greedy,0.75,3
softmax_content,2,0,1500,last,0.06599390506744385,0.01592620648443699,0.15579712390899658,0.07375030964612961,0.04177352413535118,0.00010550897833505783,0.049720872193574905,0.05906851217150688,0.021677957847714424,0.6328125,0.011165517382323742,0.2896803319454193,0.000683251884765923,0.023254405707120895,0.2421875,12.403081614524126,1024,0,513 206,witness+greedy,0.75,3
softmax_content,2,1,1500,last,0.0013618608936667442,0.0002309717528987676,0.0952516421675682,0.095375657081604,0.0011090560583397746,0.00098753457204514,0.008027726784348488,0.009790658950805664,0.0017315432196483016,0.921875,0.004126346204429865,0.03886135295033455,0.0016321968287229538,0.04168413206934929,0.263671875,12.076678605750203,1024,0,513 206,witness+greedy,0.75,3
softmax_content,2,2,1500,last,0.0024707328993827105,0.0009357467060908675,0.14984704554080963,0.01112490426748991,0.0029225782491266727,0.0005419362091720452,0.003455450525507331,0.004404776729643345,0.00014113602810539305,0.8359375,0.00508232694119215,0.12359945476055145,0.0038026520051062107,0.04600954055786133,0.255859375,12.397226812317967,1024,0,513 206,witness+greedy,0.75,3
smat,3,0,1500,mask,0.13738051056861877,0.045221637934446335,0.18898999691009521,0.14317616820335388,0.1727217733860016,0.0006889965134651121,0.13100942969322205,0.027631549164652824,0.24455560743808746,0.43359375,0.042375437915325165,0.5062031149864197,0.06028416007757187,3.448657989501953,0.865234375,21.43631656654179,1024,1,513 105 2,witness+greedy,0.5,4
smat,3,1,1500,mask,0.14955824613571167,0.04721401259303093,0.19128653407096863,0.1407671421766281,0.12559078633785248,-0.0005961160889145757,0.14271149039268494,0.019891584292054176,0.2674655616283417,0.4921875,0.03996061906218529,0.5198570489883423,0.05480330437421799,1.5710359811782837,0.87109375,21.86894772015512,1024,1,513 105 2,witness+greedy,0.5,4
smat,3,2,1500,mask,0.1943279206752777,0.04882601648569107,0.17811201512813568,0.1251164972782135,0.2189464420080185,0.000636579415002678,0.14607882499694824,0.02849600277841091,0.2600437104701996,0.5234375,0.044243745505809784,0.5583410859107971,0.06504597514867783,4.313353061676025,0.876953125,21.517566414549947,1024,1,513 105 2,witness+greedy,0.5,4
