run,d,k,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,3000,0.005146410316228867,0.978515625,63.02530002593994,23,23,23,True,31.38945508003235
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,3500,0.022119633853435516,0.884765625,45.36912298202515,23,23,23,True,30.95809268951416
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,4000,0.014383437111973763,0.8515625,43.22361135482788,23,23,23,True,30.634309887886047
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,500,0.36317312717437744,0.0,4.870662987232208,23,23,23,False,29.964093685150146
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,1000,0.3613553047180176,0.0,5.185141921043396,23,23,23,False,35.4432737827301
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,1500,0.3799976706504822,0.001953125,5.236226856708527,23,23,23,False,33.270925998687744
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,2000,0.35985931754112244,0.0,5.166414439678192,23,23,23,False,32.03516721725464
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,2500,0.3646228611469269,0.0,5.289632439613342,23,23,23,False,31.380955982208253
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,3000,0.3889492452144623,0.0,4.555849850177765,23,23,23,False,32.94797706604004
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,3500,0.3748578429222107,0.001953125,4.758380234241486,23,23,23,False,34.09763152258737
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,4000,0.3729814291000366,0.0,5.0031508803367615,23,23,23,False,34.95851320028305
mkar_d2_k3_plane_oracle_T1024_s0,2,3,plane,oracle,500,0.5353434085845947,0.0,2.6467819213867188,23,23,23,False,42.00479555130005
mkar_d2_k3_plane_oracle_T1024_s0,2,3,plane,oracle,1000,0.5402952432632446,0.0,3.1193973422050476,23,23,23,False,40.6371648311615
mkar_d2_k3_plane_oracle_T1024_s0,2,3,plane,oracle,1500,0.5353059768676758,0.0,3.079615294933319,23,23,23,False,37.067113399505615
