run,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,1000,0.5123992562294006,0.0,3.4340875148773193,11,121,132,False,15.072806358337402
mkar_smat_d3_k3_plane_oracle_T1024_s2_id,smat,3,3,content,plane,oracle,2000,0.5126255750656128,0.00390625,4.015268415212631,11,121,132,False,14.873621225357056
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,2000,0.5049325227737427,0.00390625,4.129681766033173,11,121,132,False,14.883830070495605
mkar_smat_d3_k3_plane_oracle_T1024_s2_id,smat,3,3,content,plane,oracle,3000,0.5157026052474976,0.005859375,4.44389671087265,11,121,132,False,14.822417497634888
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,3000,0.5088702440261841,0.009765625,4.47270131111145,11,121,132,False,14.82982587814331
mkar_smat_d3_k3_plane_oracle_T1024_s2_id,smat,3,3,content,plane,oracle,4000,0.4988611340522766,0.017578125,4.528113424777985,11,121,132,False,14.80273723602295
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,4000,0.515975832939148,0.013671875,4.62872701883316,11,121,132,False,14.829285264015198
mkar_smat_d4_k1_plane_oracle_T1024_s1_id,smat,4,1,content,plane,oracle,1000,0.004660562612116337,0.986328125,53.13054418563843,5,125,155,True,15.477155685424805
mkar_smat_d4_k1_plane_oracle_T1024_s2_id,smat,4,1,content,plane,oracle,1000,0.008563404902815819,0.962890625,54.02612543106079,5,125,155,True,15.634862899780273
mkar_smat_d4_k1_plane_oracle_T1024_s1_id,smat,4,1,content,plane,oracle,2000,0.004469991195946932,0.98828125,66.13948249816895,5,125,155,True,15.373146295547485
mkar_smat_d4_k1_plane_oracle_T1024_s2_id,smat,4,1,content,plane,oracle,2000,0.008443279191851616,0.9921875,66.30587100982666,5,125,155,True,15.54490339756012
mkar_smat_d4_k1_plane_oracle_T1024_s1_id,smat,4,1,content,plane,oracle,3000,0.0008063371060416102,0.990234375,67.16633224487305,5,125,155,True,15.299043973286947
mkar_smat_d4_k1_plane_oracle_T1024_s2_id,smat,4,1,content,plane,oracle,3000,0.0006553727434948087,0.994140625,66.15581512451172,5,125,155,True,15.47853390375773
mkar_smat_d4_k1_plane_oracle_T1024_s1_id,smat,4,1,content,plane,oracle,4000,0.000582316773943603,0.98828125,70.39602756500244,5,125,155,True,15.298724234104156
mkar_smat_d4_k1_plane_oracle_T1024_s2_id,smat,4,1,content,plane,oracle,4000,0.034346699714660645,0.982421875,70.83330059051514,5,125,155,True,15.481165707111359
mkar_smat_d4_k2_plane_oracle_T1024_s2_id,smat,4,2,content,plane,oracle,1000,0.05423083156347275,0.9609375,51.12072134017944,5,125,155,True,15.471826791763306
mkar_smat_d4_k2_plane_oracle_T1024_s1_id,smat,4,2,content,plane,oracle,1000,0.021454980596899986,0.982421875,50.70652103424072,5,125,155,True,15.688687801361084
mkar_smat_d4_k2_plane_oracle_T1024_s2_id,smat,4,2,content,plane,oracle,2000,0.01235196739435196,0.98046875,65.88706588745117,5,125,155,True,15.301284193992615
mkar_smat_d4_k2_plane_oracle_T1024_s1_id,smat,4,2,content,plane,oracle,2000,0.017242196947336197,0.98046875,67.35954666137695,5,125,155,True,15.513337016105652
mkar_smat_d4_k2_plane_oracle_T1024_s2_id,smat,4,2,content,plane,oracle,3000,0.014109677635133266,0.984375,73.40567111968994,5,125,155,True,15.243189255396524
mkar_smat_d4_k2_plane_oracle_T1024_s1_id,smat,4,2,content,plane,oracle,3000,0.01017715223133564,0.98046875,73.93690776824951,5,125,155,True,15.446328242619833
mkar_smat_d4_k2_plane_oracle_T1024_s2_id,smat,4,2,content,plane,oracle,4000,0.0023200740106403828,0.98046875,79.40050411224365,5,125,155,True,15.211650848388672
mkar_smat_d4_k2_plane_oracle_T1024_s1_id,smat,4,2,content,plane,oracle,4000,0.045379023998975754,0.984375,76.1368932723999,5,125,155,True,15.42200231552124
mkar_smat_d4_k3_plane_oracle_T1024_s1_id,smat,4,3,content,plane,oracle,1000,0.03126462176442146,0.962890625,45.95098066329956,5,125,155,True,15.57143259048462
mkar_smat_d4_k3_plane_oracle_T1024_s2_id,smat,4,3,content,plane,oracle,1000,0.011444946750998497,0.984375,46.16010618209839,5,125,155,True,15.6430504322052
mkar_smat_d4_k3_plane_oracle_T1024_s1_id,smat,4,3,content,plane,oracle,2000,0.0028602806851267815,0.98046875,61.92690134048462,5,125,155,True,15.432605862617493
mkar_smat_d4_k3_plane_oracle_T1024_s2_id,smat,4,3,content,plane,oracle,2000,0.005336954724043608,0.970703125,61.099499225616455,5,125,155,True,15.485157489776611
mkar_smat_d4_k3_plane_oracle_T1024_s1_id,smat,4,3,content,plane,oracle,3000,0.007508729584515095,0.986328125,70.17232608795166,5,125,155,True,15.387627442677816
mkar_smat_d4_k3_plane_oracle_T1024_s2_id,smat,4,3,content,plane,oracle,3000,0.056588150560855865,0.986328125,70.31854057312012,5,125,155,True,15.435036818186441
mkar_smat_d4_k3_plane_oracle_T1024_s1_id,smat,4,3,content,plane,oracle,4000,0.0014474696945399046,0.982421875,75.38261985778809,5,125,155,True,15.35360324382782
mkar_smat_d4_k3_plane_oracle_T1024_s2_id,smat,4,3,content,plane,oracle,4000,0.021191207692027092,0.9609375,75.19959545135498,5,125,155,True,15.407359898090363
