task,family,width,d,split,cell,n,seeds,mean,std
joint_loglinear,mamba2,64,0,test,c8-k16,2,"[1, 3]",35.6576171875,22.99146650484603
joint_loglinear,mamba2,64,0,test,macro,2,"[1, 3]",51.4197509765625,10.776714760322916
joint_loglinear,mamba2,64,0,validation,c1-k4,2,"[1, 3]",98.3875,0.24748737341528762
joint_loglinear,mamba2,64,0,validation,c16-k16,2,"[1, 3]",23.62744140625,12.783026671844855
joint_loglinear,mamba2,64,0,validation,c2-k8,2,"[1, 3]",83.02812499999999,11.52142111595831
joint_loglinear,mamba2,64,0,validation,c32-k16,2,"[1, 3]",16.122216796875,6.136291982087907
joint_loglinear,mamba2,64,0,validation,c8-k16,2,"[1, 3]",35.323828125000006,22.538476223148404
joint_loglinear,mamba2,64,0,validation,macro,2,"[1, 3]",51.29782226562499,10.546345723924835
mqar,gdn,16,0,validation,16,5,"[123, 1, 2, 3, 4]",45.2025,21.084936399447592
mqar,gdn,16,0,validation,32,5,"[123, 1, 2, 3, 4]",9.460625,4.67814410066241
mqar,gdn,16,0,validation,4,5,"[123, 1, 2, 3, 4]",96.28,5.616337774742542
mqar,gdn,16,0,validation,64,5,"[123, 1, 2, 3, 4]",1.846875,0.8649047940290162
mqar,gdn,16,0,validation,8,5,"[123, 1, 2, 3, 4]",83.2175,19.682919308374963
mqar,gdn,16,0,validation,macro,5,"[123, 1, 2, 3, 4]",47.2015,10.348302008681939
mqar,gdn,16,1,validation,16,5,"[123, 1, 2, 3, 4]",44.8225,18.180436020795817
mqar,gdn,16,1,validation,32,5,"[123, 1, 2, 3, 4]",8.45375,4.138955677651368
mqar,gdn,16,1,validation,4,5,"[123, 1, 2, 3, 4]",96.505,4.35582942733069
mqar,gdn,16,1,validation,64,5,"[123, 1, 2, 3, 4]",1.498125,0.49728191867453314
mqar,gdn,16,1,validation,8,5,"[123, 1, 2, 3, 4]",85.0425,13.590956896959096
mqar,gdn,16,1,validation,macro,5,"[123, 1, 2, 3, 4]",47.264375,7.704335284613096
mqar,gdn,16,2,validation,16,5,"[123, 1, 2, 3, 4]",42.2625,13.51138119790127
mqar,gdn,16,2,validation,32,5,"[123, 1, 2, 3, 4]",16.930625,4.455942310555646
mqar,gdn,16,2,validation,4,5,"[123, 1, 2, 3, 4]",97.145,2.6182890405759265
mqar,gdn,16,2,validation,64,5,"[123, 1, 2, 3, 4]",6.19125,2.3700955734619122
mqar,gdn,16,2,validation,8,5,"[123, 1, 2, 3, 4]",82.0525,10.064310396147368
mqar,gdn,16,2,validation,macro,5,"[123, 1, 2, 3, 4]",48.916375,4.86501749177868
mqar,gdn,16,3,validation,16,5,"[123, 1, 2, 3, 4]",33.92875,8.467094626036134
mqar,gdn,16,3,validation,32,5,"[123, 1, 2, 3, 4]",13.869375,3.3196322097203024
mqar,gdn,16,3,validation,4,5,"[123, 1, 2, 3, 4]",95.755,2.4090584260245755
mqar,gdn,16,3,validation,64,5,"[123, 1, 2, 3, 4]",3.359375,1.4186480380486821
mqar,gdn,16,3,validation,8,5,"[123, 1, 2, 3, 4]",75.2525,9.85806855448876
mqar,gdn,16,3,validation,macro,5,"[123, 1, 2, 3, 4]",44.433,4.089185746375356
mqar,gdn,16,4,validation,16,5,"[123, 1, 2, 3, 4]",32.83875,7.314767810737399
mqar,gdn,16,4,validation,32,5,"[123, 1, 2, 3, 4]",11.921249999999999,2.7914528447342604
mqar,gdn,16,4,validation,4,5,"[123, 1, 2, 3, 4]",93.325,2.2040445775891198
mqar,gdn,16,4,validation,64,5,"[123, 1, 2, 3, 4]",2.845625,0.4132382716310592
mqar,gdn,16,4,validation,8,5,"[123, 1, 2, 3, 4]",74.1825,7.084294910222189
mqar,gdn,16,4,validation,macro,5,"[123, 1, 2, 3, 4]",43.022625,3.2245079763357887
mqar,gdn,32,0,validation,16,5,"[123, 1, 2, 3, 4]",82.435,10.617902592732234
mqar,gdn,32,0,validation,32,5,"[123, 1, 2, 3, 4]",40.411875,21.552908917649614
mqar,gdn,32,0,validation,4,5,"[123, 1, 2, 3, 4]",99.575,0.67938391208506
mqar,gdn,32,0,validation,64,5,"[123, 1, 2, 3, 4]",10.7325,7.046441176363649
mqar,gdn,32,0,validation,8,5,"[123, 1, 2, 3, 4]",97.375,2.6263389442339675
mqar,gdn,32,0,validation,macro,5,"[123, 1, 2, 3, 4]",66.105875,7.87262922957306
mqar,gdn,32,1,validation,16,5,"[123, 1, 2, 3, 4]",84.6825,8.548594319755146
mqar,gdn,32,1,validation,32,5,"[123, 1, 2, 3, 4]",34.941250000000004,20.56928654154356
mqar,gdn,32,1,validation,4,5,"[123, 1, 2, 3, 4]",99.915,0.13416407864999247
mqar,gdn,32,1,validation,64,5,"[123, 1, 2, 3, 4]",8.5921875,8.091550663418715
mqar,gdn,32,1,validation,8,5,"[123, 1, 2, 3, 4]",98.8325,0.7148317109642016
mqar,gdn,32,1,validation,macro,5,"[123, 1, 2, 3, 4]",65.3926875,7.465006660637309
mqar,gdn,32,2,validation,16,5,"[123, 1, 2, 3, 4]",84.71875,3.6002793945400975
mqar,gdn,32,2,validation,32,5,"[123, 1, 2, 3, 4]",38.805,21.96504909705274
mqar,gdn,32,2,validation,4,5,"[123, 1, 2, 3, 4]",99.58500000000001,0.5004997502496902
mqar,gdn,32,2,validation,64,5,"[123, 1, 2, 3, 4]",13.56625,5.060748587860421
mqar,gdn,32,2,validation,8,5,"[123, 1, 2, 3, 4]",98.63499999999999,1.2943808848248668
mqar,gdn,32,2,validation,macro,5,"[123, 1, 2, 3, 4]",67.062,5.164827172961598
mqar,gdn,32,3,validation,16,5,"[123, 1, 2, 3, 4]",84.28375,2.6570204764924186
mqar,gdn,32,3,validation,32,5,"[123, 1, 2, 3, 4]",48.041250000000005,10.768332252126488
mqar,gdn,32,3,validation,4,5,"[123, 1, 2, 3, 4]",99.725,0.24811791551598925
mqar,gdn,32,3,validation,64,5,"[123, 1, 2, 3, 4]",47.964062500000004,18.14359623196338
mqar,gdn,32,3,validation,8,5,"[123, 1, 2, 3, 4]",98.295,1.2578689816511082
mqar,gdn,32,3,validation,macro,5,"[123, 1, 2, 3, 4]",75.6618125,6.0815690330947385
mqar,gdn,32,4,validation,16,5,"[123, 1, 2, 3, 4]",90.22375,1.1514121764164273
mqar,gdn,32,4,validation,32,5,"[123, 1, 2, 3, 4]",56.7425,23.234073278975696
mqar,gdn,32,4,validation,4,5,"[123, 1, 2, 3, 4]",99.93,0.062249497989945834
mqar,gdn,32,4,validation,64,5,"[123, 1, 2, 3, 4]",42.81875,16.976751501766596
mqar,gdn,32,4,validation,8,5,"[123, 1, 2, 3, 4]",99.265,0.34836672487480264
mqar,gdn,32,4,validation,macro,5,"[123, 1, 2, 3, 4]",77.796,8.068302482627423
mqar,gdn,64,0,validation,16,5,"[123, 1, 2, 3, 4]",97.77125,1.1410709744577687
mqar,gdn,64,0,validation,32,5,"[123, 1, 2, 3, 4]",70.9325,6.152719720655043
mqar,gdn,64,0,validation,4,5,"[123, 1, 2, 3, 4]",99.975,0.03535533905932788
mqar,gdn,64,0,validation,64,5,"[123, 1, 2, 3, 4]",22.04375,5.539312957137317
mqar,gdn,64,0,validation,8,5,"[123, 1, 2, 3, 4]",99.8525,0.16090564005031469
mqar,gdn,64,0,validation,macro,5,"[123, 1, 2, 3, 4]",78.11500000000001,2.4100557262261844
mqar,gdn,64,1,validation,16,5,"[123, 1, 2, 3, 4]",91.26875,11.76105447414262
mqar,gdn,64,1,validation,32,5,"[123, 1, 2, 3, 4]",57.018125,17.26056351149565
mqar,gdn,64,1,validation,4,5,"[123, 1, 2, 3, 4]",99.715,0.6097130472607588
mqar,gdn,64,1,validation,64,5,"[123, 1, 2, 3, 4]",15.400625,5.186142353403502
mqar,gdn,64,1,validation,8,5,"[123, 1, 2, 3, 4]",98.705,2.357710091381044
mqar,gdn,64,1,validation,macro,5,"[123, 1, 2, 3, 4]",72.4215,7.419441546459422
mqar,gdn,64,2,validation,16,5,"[123, 1, 2, 3, 4]",84.91125,9.834013438698362
