task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,dbl,dbl,1,2,37,37,2048,16384,10240,10368,1.5815020399757727,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,10368,10496,1.6252162143326758,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,10496,10624,1.5873257213593948,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,10624,10752,1.619924546447254,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,10752,10880,1.5722871588315948,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,10880,11008,1.5547542840783086,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11008,11136,1.585671545480309,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11136,11264,1.595484146596205,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11264,11392,1.5881970175737035,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11392,11520,1.6024013972582898,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11520,11648,1.5921167807021361,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11648,11776,1.6305108251274016,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11776,11904,1.6003931517503398,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,11904,12032,1.595351574781697,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12032,12160,1.579018274278789,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12160,12288,1.6264920295922658,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12288,12416,1.5795340802911064,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12416,12544,1.5456170145508068,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12544,12672,1.5504021514680069,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12672,12800,1.5552996897229823,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12800,12928,1.5966943484013356,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,12928,13056,1.5831619673645059,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13056,13184,1.5690209493047742,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13184,13312,1.5578678528302592,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13312,13440,1.6404527269234337,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13440,13568,1.6346318276615026,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13568,13696,1.5866628885293248,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13696,13824,1.5892584407030137,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13824,13952,1.6148133130567517,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,13952,14080,1.632631515336185,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14080,14208,1.6373716501753952,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14208,14336,1.6106602198763218,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14336,14464,1.619040019745335,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14464,14592,1.6332468220560172,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14592,14720,1.5782561434800297,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14720,14848,1.654644681045193,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14848,14976,1.5991295159963066,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,14976,15104,1.6113239630419276,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,15104,15232,1.5979350454680787,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,15232,15360,1.588573560387805,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,15360,15488,1.6279348569007452,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,15488,15616,1.627283779280106,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,15616,15744,1.6060428875568458,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,15744,15872,1.6281618614612323,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,15872,16000,1.6387101356967215,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,16000,16128,1.6126821489166345,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,16128,16256,1.623589209796726,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,16256,16384,1.6063535289631143,64,6000,2101
