task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,win8,win8,0,2,37,37,2048,16384,9984,10112,4.142378513567399,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,10112,10240,3.5418751610234778,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,10240,10368,4.0097694559140855,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,10368,10496,3.8874944393848523,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,10496,10624,3.5637840940667704,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,10624,10752,3.9437808770199547,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,10752,10880,3.7954873408706042,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,10880,11008,3.6507686488664257,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11008,11136,3.8023314018824124,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11136,11264,3.724923631128101,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11264,11392,3.628033672402123,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11392,11520,3.6663996387426225,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11520,11648,3.884450069008194,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11648,11776,3.942904698640797,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11776,11904,4.264172737144579,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,11904,12032,3.881467056801268,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12032,12160,3.9631463190030107,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12160,12288,4.067065171048547,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12288,12416,3.5480855163523985,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12416,12544,3.536244002954229,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12544,12672,3.4205857333988696,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12672,12800,3.4901114700679936,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12800,12928,3.3846846929502945,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,12928,13056,3.4847408650429945,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13056,13184,3.541194303206543,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13184,13312,3.4791100872166374,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13312,13440,3.8619100980285244,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13440,13568,3.551242857161035,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13568,13696,3.4838119464372506,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13696,13824,3.6599495422856276,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13824,13952,4.157977700761138,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,13952,14080,3.5888427724661573,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14080,14208,3.3557405321170726,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14208,14336,3.4841064694140824,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14336,14464,3.6045324890431667,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14464,14592,3.355833290556731,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14592,14720,3.604746519436744,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14720,14848,3.441636367540622,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14848,14976,3.394636980287773,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,14976,15104,3.4178434176298977,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,15104,15232,3.461473873684392,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,15232,15360,3.468990052301074,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,15360,15488,3.977480116298931,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,15488,15616,3.499186926701494,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,15616,15744,3.636902234578442,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,15744,15872,4.254271164534887,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,15872,16000,3.68222689575743,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,16000,16128,3.3727772813091335,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,16128,16256,3.8066703924894645,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,16256,16384,3.4468251250973934,4,60,21
