arm,run,step,accuracy,first_half,second_half
historical_mamba2,sc4k-tweak-d3-goff-s1,5750,0.1716,,
historical_mamba2,sc4k-tweak-d3-goff-s1,6000,0.1697,,
historical_mamba2,sc4k-tweak-d3-goff-s1,6250,0.1755,,
historical_mamba2,sc4k-tweak-d3-goff-s1,6500,0.1792,,
historical_mamba2,sc4k-tweak-d3-goff-s1,6750,0.178,,
historical_mamba2,sc4k-tweak-d3-goff-s1,7000,0.1821,,
historical_mamba2,sc4k-tweak-d3-goff-s1,7250,0.1826,,
historical_mamba2,sc4k-tweak-d3-goff-s1,7500,0.1802,,
historical_mamba2,sc4k-tweak-d3-goff-s1,7750,0.1824,,
historical_mamba2,sc4k-tweak-d3-goff-s1,8000,0.1812,,
historical_mamba2,sc4k-tweak-d3-goff-s1,8250,0.1814,,
historical_mamba2,sc4k-tweak-d3-goff-s1,8500,0.1843,,
historical_mamba2,sc4k-tweak-d3-goff-s1,8750,0.1838,,
historical_mamba2,sc4k-tweak-d3-goff-s1,9000,0.1863,,
historical_mamba2,sc4k-tweak-d3-goff-s1,9250,0.1858,,
historical_mamba2,sc4k-tweak-d3-goff-s1,9500,0.1875,,
historical_mamba2,sc4k-tweak-d3-goff-s1,9750,0.1843,,
historical_mamba2,sc4k-tweak-d3-goff-s1,10000,0.1833,,
historical_mamba2,sc4k-tweak-d3-goff-s2,250,0.0632,,
historical_mamba2,sc4k-tweak-d3-goff-s2,500,0.0657,,
historical_mamba2,sc4k-tweak-d3-goff-s2,750,0.0833,,
historical_mamba2,sc4k-tweak-d3-goff-s2,1000,0.1021,,
historical_mamba2,sc4k-tweak-d3-goff-s2,1250,0.1106,,
historical_mamba2,sc4k-tweak-d3-goff-s2,1500,0.1145,,
historical_mamba2,sc4k-tweak-d3-goff-s2,1750,0.1174,,
historical_mamba2,sc4k-tweak-d3-goff-s2,2000,0.1221,,
historical_mamba2,sc4k-tweak-d3-goff-s2,2250,0.1221,,
historical_mamba2,sc4k-tweak-d3-goff-s2,2500,0.1357,,
historical_mamba2,sc4k-tweak-d3-goff-s2,2750,0.2329,,
historical_mamba2,sc4k-tweak-d3-goff-s2,3000,0.3616,,
historical_mamba2,sc4k-tweak-d3-goff-s2,3250,0.3821,,
historical_mamba2,sc4k-tweak-d3-goff-s2,3500,0.3889,,
historical_mamba2,sc4k-tweak-d3-goff-s2,3750,0.4077,,
historical_mamba2,sc4k-tweak-d3-goff-s2,4000,0.4558,,
historical_mamba2,sc4k-tweak-d3-goff-s2,4250,0.4946,,
historical_mamba2,sc4k-tweak-d3-goff-s2,4500,0.5371,,
historical_mamba2,sc4k-tweak-d3-goff-s2,4750,0.5364,,
historical_mamba2,sc4k-tweak-d3-goff-s2,5000,0.5796,,
historical_mamba2,sc4k-tweak-d3-goff-s2,5250,0.5703,,
historical_mamba2,sc4k-tweak-d3-goff-s2,5500,0.5964,,
historical_mamba2,sc4k-tweak-d3-goff-s2,5750,0.6155,,
historical_mamba2,sc4k-tweak-d3-goff-s2,6000,0.6316,,
historical_mamba2,sc4k-tweak-d3-goff-s2,6250,0.6323,,
historical_mamba2,sc4k-tweak-d3-goff-s2,6500,0.6543,,
historical_mamba2,sc4k-tweak-d3-goff-s2,6750,0.655,,
historical_mamba2,sc4k-tweak-d3-goff-s2,7000,0.6714,,
historical_mamba2,sc4k-tweak-d3-goff-s2,7250,0.6614,,
historical_mamba2,sc4k-tweak-d3-goff-s2,7500,0.6899,,
historical_mamba2,sc4k-tweak-d3-goff-s2,7750,0.687,,
historical_mamba2,sc4k-tweak-d3-goff-s2,8000,0.7009,,
historical_mamba2,sc4k-tweak-d3-goff-s2,8250,0.6912,,
historical_mamba2,sc4k-tweak-d3-goff-s2,8500,0.7026,,
historical_mamba2,sc4k-tweak-d3-goff-s2,8750,0.6907,,
historical_mamba2,sc4k-tweak-d3-goff-s2,9000,0.7151,,
historical_mamba2,sc4k-tweak-d3-goff-s2,9250,0.7202,,
historical_mamba2,sc4k-tweak-d3-goff-s2,9500,0.7141,,
historical_mamba2,sc4k-tweak-d3-goff-s2,9750,0.7283,,
historical_mamba2,sc4k-tweak-d3-goff-s2,10000,0.7334,,
historical_mamba2,sc4k-tweak-d3-goff,250,0.0581,,
historical_mamba2,sc4k-tweak-d3-goff,500,0.0615,,
historical_mamba2,sc4k-tweak-d3-goff,750,0.0862,,
historical_mamba2,sc4k-tweak-d3-goff,1000,0.1077,,
historical_mamba2,sc4k-tweak-d3-goff,1250,0.1299,,
historical_mamba2,sc4k-tweak-d3-goff,1500,0.1318,,
historical_mamba2,sc4k-tweak-d3-goff,1750,0.1335,,
historical_mamba2,sc4k-tweak-d3-goff,2000,0.1396,,
historical_mamba2,sc4k-tweak-d3-goff,2250,0.1399,,
historical_mamba2,sc4k-tweak-d3-goff,2500,0.1465,,
historical_mamba2,sc4k-tweak-d3-goff,2750,0.1345,,
historical_mamba2,sc4k-tweak-d3-goff,3000,0.1418,,
historical_mamba2,sc4k-tweak-d3-goff,3250,0.1506,,
historical_mamba2,sc4k-tweak-d3-goff,3500,0.1348,,
historical_mamba2,sc4k-tweak-d3-goff,3750,0.1367,,
historical_mamba2,sc4k-tweak-d3-goff,4000,0.1462,,
historical_mamba2,sc4k-tweak-d3-goff,4250,0.1467,,
historical_mamba2,sc4k-tweak-d3-goff,4500,0.1445,,
historical_mamba2,sc4k-tweak-d3-goff,4750,0.1455,,
historical_mamba2,sc4k-tweak-d3-goff,5000,0.1599,,
historical_mamba2,sc4k-tweak-d3-goff,5250,0.1602,,
historical_mamba2,sc4k-tweak-d3-goff,5500,0.1592,,
historical_mamba2,sc4k-tweak-d3-goff,5750,0.1611,,
historical_mamba2,sc4k-tweak-d3-goff,6000,0.1633,,
historical_mamba2,sc4k-tweak-d3-goff,6250,0.1624,,
historical_mamba2,sc4k-tweak-d3-goff,6500,0.1604,,
historical_mamba2,sc4k-tweak-d3-goff,6750,0.1675,,
historical_mamba2,sc4k-tweak-d3-goff,7000,0.1729,,
historical_mamba2,sc4k-tweak-d3-goff,7250,0.1687,,
historical_mamba2,sc4k-tweak-d3-goff,7500,0.1733,,
historical_mamba2,sc4k-tweak-d3-goff,7750,0.1665,,
historical_mamba2,sc4k-tweak-d3-goff,8000,0.1719,,
historical_mamba2,sc4k-tweak-d3-goff,8250,0.1741,,
historical_mamba2,sc4k-tweak-d3-goff,8500,0.1758,,
historical_mamba2,sc4k-tweak-d3-goff,8750,0.1833,,
historical_mamba2,sc4k-tweak-d3-goff,9000,0.1763,,
historical_mamba2,sc4k-tweak-d3-goff,9250,0.1794,,
historical_mamba2,sc4k-tweak-d3-goff,9500,0.1814,,
historical_mamba2,sc4k-tweak-d3-goff,9750,0.1855,,
historical_mamba2,sc4k-tweak-d3-goff,10000,0.1863,,
